Epoch,Learn rate,Avg Train loss,Train Accuracy,Avg Eval loss,Eval accuracy
0,0,6.324813382,0.000415133,6.326236849,0.000406087
1,2.11E-05,5.088928006,0.059908151,5.081724084,0.060768401
2,4.23E-05,4.360713844,0.076238564,4.369755289,0.076184162
3,6.34E-05,4.080329129,0.082896878,4.079539175,0.081503366
4,8.46E-05,3.955213064,0.089256873,3.958855287,0.090801955
5,0.000105689,3.885772955,0.093030804,3.892239788,0.094504905
6,0.000126827,3.805569517,0.097295669,3.812217816,0.096814883
7,0.000147965,3.69326745,0.106906165,3.705234341,0.106049693
8,0.000169103,3.595490966,0.116322553,3.618766101,0.115559571
9,0.00019024,3.490705112,0.124816224,3.523698185,0.122179567
10,0.000211378,3.431320642,0.129863801,3.461975875,0.128117669
11,0.000232516,3.350652147,0.141598209,3.37108243,0.142548227
12,0.000253654,3.287998891,0.154633077,3.308846204,0.15459532
13,0.000274792,3.206916821,0.170645574,3.216942362,0.174434256
14,0.00029593,3.153353329,0.182968453,3.156775765,0.186411682
15,0.000317067,3.086312659,0.193722291,3.101858087,0.197137682
16,0.000338205,3.006099823,0.208704697,3.033066947,0.207776489
17,0.000359343,2.938223151,0.220617193,2.963087465,0.217543785
18,0.000380481,2.897975874,0.226464288,2.924826622,0.227259501
19,0.000401619,2.819748033,0.238646229,2.863959582,0.235998249
20,0.000422757,2.786226604,0.246189547,2.798458151,0.250055171
21,0.000443894,2.736839472,0.259837696,2.7544115,0.260623884
22,0.000465032,2.685639478,0.272288539,2.710337991,0.271890423
23,0.00048617,2.627817373,0.284232971,2.649961078,0.285172382
24,0.000507308,2.607233325,0.289548945,2.641655113,0.287990053
25,0.000528446,2.564410072,0.300006719,2.598472564,0.295476682
26,0.000549584,2.539068076,0.304622561,2.571366507,0.302364187
27,0.000570721,2.506391931,0.309428038,2.539616937,0.307460121
28,0.000591859,2.482566761,0.314651391,2.516582769,0.310881743
29,0.000612997,2.455162407,0.320516609,2.498072116,0.316709499
30,0.000634135,2.445369874,0.323707093,2.490427836,0.319346456
31,0.000655273,2.4271442,0.32562786,2.452994492,0.325860134
32,0.000676411,2.410675031,0.328217745,2.476130465,0.319198699
33,0.000697548,2.390992082,0.333512003,2.429107179,0.329608058
34,0.000689022,2.366950587,0.338273165,2.400213978,0.335473825
35,0.000679107,2.346470224,0.341053403,2.406970656,0.332814345
36,0.000669609,2.326965438,0.346033381,2.367181612,0.340039124
37,0.000660498,2.304811363,0.351030402,2.368473758,0.339892197
38,0.000651749,2.296540767,0.351419154,2.3506333,0.340556382
39,0.000643339,2.263736638,0.357977103,2.332137709,0.348681009
40,0.000635247,2.252658487,0.359572642,2.307930252,0.35100675
41,0.000627452,2.240031469,0.363338503,2.300427965,0.352663536
42,0.000619937,2.229090373,0.364241318,2.287706624,0.353212546
43,0.000612686,2.209071575,0.368842746,2.265683039,0.360590612
44,0.000605684,2.197485778,0.371998448,2.281316115,0.355069694
45,0.000598916,2.193155139,0.371732744,2.254701874,0.361115015
46,0.00059237,2.186978981,0.374828913,2.257603853,0.362263336
47,0.000586035,2.168664926,0.376833849,2.25732341,0.359654267
48,0.000579898,2.151876968,0.38090076,2.24547891,0.364700619
49,0.00057395,2.147041537,0.381704203,2.209714869,0.37100306
50,0.000568182,2.141156795,0.383466019,2.223147423,0.367418184
51,0.000562584,2.136294783,0.384759094,2.219347031,0.368295269
52,0.000557148,2.120446955,0.38751886,2.192747852,0.376339262
53,0.000551867,2.115987567,0.388652712,2.191821731,0.376915384
54,0.000546733,2.102714611,0.392089452,2.177562299,0.377907218
55,0.00054174,2.103412911,0.391789031,2.190652567,0.374441587
56,0.000536881,2.094274269,0.393044089,2.178652328,0.378968201
57,0.000532151,2.090226708,0.395401319,2.175285858,0.379939046
58,0.000527544,2.074868814,0.397326082,2.15612,0.382917123
59,0.000523054,2.072195107,0.398318168,2.138351513,0.386484633
60,0.000518677,2.07223201,0.39838037,2.165515278,0.381057168
61,0.000514408,2.059490707,0.401413663,2.153483318,0.383288192
62,0.000510242,2.051785393,0.402944699,2.13933131,0.385535394
63,0.000506177,2.050445142,0.402422603,2.138448793,0.38861416
64,0.000502207,2.044232417,0.403784045,2.135654636,0.386190098
65,0.000498328,2.034314178,0.40618065,2.117118753,0.391480678
66,0.000494539,2.026079063,0.408446134,2.111335537,0.391842415
67,0.000490834,2.018899887,0.409443231,2.102531029,0.39327501
68,0.000487212,2.019648765,0.409016637,2.129789321,0.388240779
69,0.000483668,2.015721757,0.409790458,2.124753859,0.390105849
70,0.000480201,2.013100424,0.41050133,2.110149321,0.392370624
71,0.000476808,2.004609085,0.411747684,2.115758725,0.390881271
72,0.000473485,2.010292811,0.410976339,2.117528739,0.389499383
73,0.000470231,2.004693926,0.412008959,2.11427812,0.391483136
74,0.000467043,1.997129975,0.414422842,2.102223681,0.392333374
75,0.000463919,2.005879385,0.411844911,2.124864843,0.387636446
76,0.000460856,1.980288618,0.417007181,2.100979919,0.392941848
77,0.000457854,1.978442176,0.416465082,2.098889455,0.395009321
78,0.00045491,1.982843644,0.416842031,2.099861171,0.394051295
79,0.000452021,1.979872745,0.416970809,2.086941185,0.396926698
80,0.000449187,1.976705527,0.417941807,2.094181082,0.396085761
81,0.000446406,1.979165114,0.41770578,2.096022704,0.395033354
82,0.000443675,1.95852048,0.421155044,2.082118081,0.397162384
83,0.000440995,1.965833537,0.419897016,2.060583472,0.403931997
84,0.000438362,1.959303956,0.420736314,2.069029139,0.401391498
85,0.000435776,1.962511256,0.421517801,2.082361973,0.399812884
86,0.000433235,1.949282205,0.424574459,2.089191338,0.396998728
87,0.000430738,1.954287721,0.422618288,2.076478606,0.400278054
88,0.000428283,1.953097657,0.422438136,2.059800241,0.404557584
89,0.00042587,1.93725219,0.426099792,2.068255103,0.398931623
90,0.000423498,1.942316682,0.424899856,2.071744312,0.399213192
91,0.000421164,1.938935325,0.424554118,2.057548554,0.401516737
92,0.000418869,1.937115535,0.425030792,2.067588511,0.401282399
93,0.000416611,1.93399998,0.42591098,2.052814271,0.403250208
94,0.000414389,1.929835446,0.427485241,2.07013621,0.398122255
95,0.000412202,1.93838868,0.426251209,2.071957505,0.400387068
96,0.00041005,1.928794493,0.427834984,2.052953191,0.403524289
97,0.000407931,1.916045276,0.4304035,2.060520084,0.403131342
98,0.000405844,1.915509658,0.430187304,2.051375809,0.403209235
99,0.000403789,1.916992145,0.430414499,2.049365163,0.404941085
100,0.000401765,1.922187973,0.428975397,2.049504078,0.40422242
101,0.000399771,1.911622396,0.431122952,2.064267216,0.401168889
102,0.000397807,1.913348962,0.431314736,2.047951864,0.404773886
103,0.000395871,1.908574596,0.432035241,2.049268702,0.405031756
104,0.000393963,1.90425339,0.432376645,2.065115607,0.401974278
105,0.000392083,1.90830694,0.43205538,2.05967885,0.401997382
106,0.000390229,1.902265111,0.43358789,2.03812791,0.407315302
107,0.000388401,1.899037759,0.433683511,2.052126921,0.402704006
108,0.000386599,1.903154771,0.432856088,2.045298633,0.406266925
109,0.000384821,1.899663458,0.43430166,2.046122753,0.403987936
110,0.000383068,1.888920513,0.435858878,2.04458784,0.404667764
111,0.000381339,1.88842405,0.435987536,2.047939948,0.403745665
112,0.000379632,1.88714382,0.436704174,2.026144359,0.40827839
113,0.000377949,1.882373785,0.437755493,2.049509645,0.404445212
114,0.000376288,1.886768292,0.435994216,2.027600237,0.409095228
115,0.000374648,1.878320407,0.439294637,2.045756242,0.405835704
116,0.00037303,1.878613758,0.438145399,2.032793211,0.40888541
117,0.000371432,1.879425159,0.438041339,2.043914095,0.405189706
118,0.000369855,1.882039918,0.43695359,2.027866249,0.408106363
119,0.000368298,1.878247929,0.438669744,2.025218222,0.410862069
120,0.00036676,1.875161129,0.438778478,2.035474902,0.407986462
