Epoch,Learn rate,Avg Train loss,Train Accuracy,Avg Eval loss,Eval accuracy
0,0,6.251376098,0.000345506,6.249917191,0.000356759
1,8.46E-05,4.075869057,0.081772855,4.062620876,0.081784286
2,0.000169103,3.944523686,0.082156986,3.939729401,0.083540465
3,0.000253654,3.734580788,0.100763808,3.747500969,0.100824266
4,0.000338205,3.563462259,0.118077101,3.578505406,0.117551979
5,0.000422757,3.342060703,0.157576389,3.355781194,0.157004146
6,0.000507308,3.180510285,0.18837938,3.206847901,0.189196178
7,0.000591859,3.113446759,0.203975543,3.126914804,0.20487598
8,0.000676411,3.056000991,0.209718987,3.050290231,0.214495437
9,0.000669609,2.918113427,0.22961407,2.936434132,0.231323183
10,0.000635247,2.826312717,0.246889447,2.844098782,0.249554564
11,0.000605684,2.758624884,0.265525852,2.782471809,0.26572276
12,0.000579898,2.681593387,0.278595761,2.711463031,0.275594824
13,0.000557148,2.625730817,0.288592829,2.652888603,0.288658429
14,0.000536881,2.562216519,0.300934168,2.605408074,0.294803004
15,0.000518677,2.513485997,0.309033547,2.552990412,0.303733361
16,0.000502207,2.502274815,0.311477974,2.535112435,0.309093842
17,0.000487212,2.435348922,0.323800833,2.4740226,0.318457826
18,0.000473485,2.41546725,0.327385703,2.44462848,0.325122435
19,0.000460856,2.389315246,0.333577727,2.435437369,0.325289084
20,0.000449187,2.368421315,0.337976735,2.410072962,0.333997517
21,0.000438362,2.330039518,0.345039752,2.397657625,0.33492089
22,0.000428283,2.318392312,0.347149313,2.3900538,0.335003535
23,0.000418869,2.306707977,0.349943602,2.360135403,0.341944247
24,0.00041005,2.267640979,0.357585441,2.328734484,0.347672783
25,0.000401765,2.266285149,0.357695106,2.329215077,0.348634561
26,0.000393963,2.254239088,0.359780471,2.317953295,0.348803085
27,0.000386599,2.239245149,0.363121981,2.29363236,0.356315503
28,0.000379632,2.23977817,0.364700583,2.288073313,0.35680623
29,0.00037303,2.21949053,0.368503626,2.276979835,0.357085944
30,0.00036676,2.205985291,0.369620857,2.261145238,0.36057732
31,0.000360796,2.188943799,0.373713117,2.264509851,0.362851035
32,0.000355114,2.172728989,0.375455799,2.230603873,0.366825627
33,0.000349692,2.161839929,0.378428456,2.243128785,0.3656721
34,0.000344511,2.151025709,0.381552671,2.220668473,0.369419633
35,0.000339554,2.147979799,0.382242157,2.227457984,0.368095496
36,0.000334804,2.141572272,0.383366225,2.232976775,0.368080677
37,0.000330249,2.124157032,0.38663295,2.22710427,0.368276632
38,0.000325875,2.116122756,0.388659259,2.206581551,0.373134037
39,0.00032167,2.109133946,0.390832104,2.194782465,0.37484183
40,0.000317623,2.103290358,0.392143625,2.188020142,0.373676051
41,0.000313726,2.098736054,0.39231176,2.196808565,0.374125754
42,0.000309969,2.099762149,0.391965821,2.177757551,0.376335806
43,0.000306343,2.098243403,0.391958367,2.181637488,0.376577562
44,0.000302842,2.082918669,0.394516148,2.180972335,0.377486975
45,0.000299458,2.073045297,0.396658909,2.17437519,0.376119903
46,0.000296185,2.072037744,0.398038199,2.157711554,0.381643211
47,0.000293017,2.065863702,0.400111355,2.161746976,0.381732035
48,0.000289949,2.054960786,0.401395876,2.131381309,0.387391247
49,0.000286975,2.046315746,0.403596711,2.149578575,0.386332986
50,0.000284091,2.046977582,0.402971029,2.135839279,0.385981328
51,0.000281292,nan,0.405988254,2.127684012,0.386338236
52,0.000278574,2.038533494,0.403593568,2.159003796,0.38192835
53,0.000275933,2.027420486,0.406557296,2.146802447,0.384850281
54,0.000273367,2.03418831,0.405964972,2.150428946,0.383234774
55,0.00027087,2.023401871,0.408102849,2.141377496,0.385460751
56,0.000268441,2.014209695,0.410445098,2.121446109,0.389181185
57,0.000266076,2.022828087,0.4081203,2.12861462,0.388659478
58,0.000263772,2.022540496,0.408260342,2.13048911,0.387788583
59,0.000261527,2.003695983,0.411299439,2.116180358,0.390246957
60,0.000259338,2.005602042,0.411606767,2.122677385,0.386416087
61,0.000257204,1.992735615,0.414654757,2.107990406,0.392422277
62,0.000255121,1.99032951,0.415277802,2.124259311,0.389378482
63,0.000253088,2.003532079,0.412318516,2.121732822,0.389741559
64,0.000251103,1.991857095,0.413625191,2.108394161,0.392519926
65,0.000249164,1.980748574,0.416958148,2.085739531,0.395388222
66,0.000247269,1.981781011,0.41609471,2.112488173,0.391458177
67,0.000245417,1.977970211,0.417063511,2.109561518,0.392413601
68,0.000243606,1.979766301,0.417104241,2.105409472,0.392984773
69,0.000241834,1.971552902,0.419282653,2.091308168,0.395858195
70,0.000240101,1.964713098,0.420877965,2.088456754,0.397069626
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
